菜名,工艺,口味,时间,难度,主料,辅料
清炖羊肉,炖,咸鲜味,30分钟,初级入门,"['羊肉 400克', '山药 100克']","['小葱 4克', '生姜 3克', '大蒜 3克', '花椒 3克', '八角 1克', '枸杞子 1克', '盐 4克', '料酒 7克']"
酱油炒饭,炒,家常味,15分钟,初级入门,"['大米 1碗', '黄瓜 30克', '胡萝卜 半根', '鸡蛋 1个']","['花生油 5毫升', '酱油 5克', '盐 3克', '鸡精 适量']"
西湖牛肉羹,煮,家常味,15分钟,初级入门,"['豆腐 100克', '牛肉 100克']","['香菜 2根', '香菇 2个', '水 100毫升', '蛋黄 40克', '胡椒粉 1克']"
西葫芦炒肉,炒,咸鲜味,10分钟,初级入门,"['西葫芦 250克', '猪肉 100克', '胡萝卜 50克']","['大蒜 5克', '小葱 1根', '花生油 5毫升', '料酒 5克', '鸡精 3克', '盐 2克', '酱油 15克', '蚝油 2克', '淀粉 15克']"
爆炒猪腰,炒,香辣味,30分钟,初级入门,"['猪腰 400克', '莲藕 30克', '韭菜 5克', '黑木耳 30克']","['醋 60克', '酱油 5克', '白糖 10克', '盐 2克', '鸡精 1克', '淀粉 8克', '大蒜 3克', '花生油 5毫升']"
干锅土豆香辣虾,干煸,香辣味,10分钟,未知,"['土豆 1个', '芹菜 1颗', '冰糖 300克', '猪肉 1小块']","['洋葱 半个', '酱油 5克', '酱油 适量', '豆瓣酱 5克', '盐 2', '白糖 2克', '大蒜 4瓣']"
骨头汤,炖,咸鲜味,2小时,新手尝试,['排骨 700克'],"['生姜 5克', '白萝卜 1根', '小葱 3根', '料酒 10克', '盐 2克', '鸡精 2克', '蚝油 5克']"
土豆卷饼,煎,香辣味,15分钟,初级入门,"['小麦面粉 100克', '土豆 20克']","['花生油 3毫升', '辣椒酱 适量']"
炖排骨,炖,咸鲜味,60分钟,初中水平,"['排骨 500克', '八角 适量', '香叶 适量', '小葱 适量', '生姜 适量']","['酱油 3克', '酱油 3克', '料酒 3克', '盐 3克', '水 100毫升']"
粉蒸排骨,蒸,家常味,30分钟,初级入门,"['排骨 600克', '米粉 100克']","['料酒 10克', '酱油 2克', '蚝油 10克', '腐乳 10克', '盐 5克', '白糖 5克', '生姜 10克', '大蒜 10克']"
青椒炒肉,炒,香辣味,15分钟,初级入门,"['猪肉 100克', '青椒 1根', '大蒜 10克', '生姜 10克']","['料酒 3克', '酱油 25克', '花生油 50克', '淀粉 10克', '白糖 2克']"
青椒猪肉,炒,香辣味,30分钟,初级入门,"['猪肉 500克', '青椒 2个']","['花生油 10毫升', '大蒜 50', '胡椒粉 5克', '盐 5克', '淀粉 50克']"
爆炒鱿鱼,炒,咸鲜味,15分钟,中级掌勺,"['鱿鱼 1条', '青椒 100克', '洋葱 半个']","['生姜 5克', '葱白 5克', '大蒜 3克', '花生油 5毫升', '干辣椒 15克', '豆瓣酱 8克', '辣椒酱 2克', '酱油 2克', '芝麻 2克', '孜然 3克']"
