menus_id,名字,平均分,收藏,浏览,工艺,口味,时间,难度,主料,辅料,禁忌综合,糖,脂肪,热量
9237,西湖牛肉羹,4.765, 129 收藏 , 44003 浏览,煮,家常味,15分钟,初级入门,"['内酯豆腐 100克', '牛肉 100克']","['香菜 2根', '香菇 2个', '水 100毫升', '蛋清 40克', '白胡椒粉 1克']","['高血脂人群 建议多吃', '减肥人群 建议多吃', '高血压人群 建议多吃', '高血糖人群 建议多吃', '儿童 建议多吃']",1.75克,2.9克,84.1大卡
4347,清蒸多宝鱼,4.36, 204 收藏 , 54052 浏览,蒸,家常味,30分钟,初级入门,['多宝鱼 1条'],"['姜丝 4克', '葱丝 10克', '姜片 3克', '辣椒 6克', '料酒 40克', '盐 2克', '蒸鱼鼓油 40克', '食用油 50毫升']","['减肥人群 建议多吃', '高血脂人群 建议多吃', '高血压人群 建议多吃', '高血糖人群 建议多吃', '儿童 控制少吃']",0.21克,1.5克,55.7大卡
14894,糖醋带鱼,4.397, 51 收藏 , 15254 浏览,烧,酸甜味,30分钟,初级入门,['带鱼 200克'],"['料酒 5克', '盐 2克', '淀粉 15克', '姜 3克', '葱 5克', '白醋 15克', '白砂糖 20克', '番茄酱 15克', '水 50毫升']","['高血压人群 建议多吃', '减肥人群 控制少吃', '高血糖人群 控制少吃', '高血脂人群 建议多吃', '儿童 建议多吃']",8.54克,2.3克,103.1大卡
7521,水煮虾,4.085, 9 收藏 , 10393 浏览,煮,香辣味,30分钟,初中水平,"['虾 300克', '卷心菜 150克', '食用油 20毫升']","['姜末 5克', '蒜末 4克', '干辣椒 3克', '葱末 3克', '食用油 5毫升', '花椒 1克', '豆瓣酱 30克', '清水 100毫升', '高汤 100毫升', '白砂糖 2克', '料酒 5克']","['减肥人群 建议多吃', '高血糖人群 建议多吃', '高血脂人群 建议多吃', '高血压人群 建议多吃', '儿童 控制少吃']",1.68克,4.6克,81.1大卡
14215,杀猪菜,4.148, 15 收藏 , 15323 浏览,煮,家常味,30分钟,初级入门,"['猪大肠 70克', '猪肝 90克', '猪苦肠 70克', '酸菜 180克', '猪血肠 100克', '五花肉 90克']","['葱花 5克', '姜片 5克', '八角 一个', '鸡粉 适量', '盐 适量', '胡椒粉 适量']","['高血压人群 建议多吃', '高血脂人群 控制少吃', '减肥人群 控制少吃', '高血糖人群 建议多吃', '儿童 建议多吃']",2.38克,11.3克,150大卡
14006,烤生蚝,4.361, 47 收藏 , 22135 浏览,烤,咸鲜味,30分钟,初级入门,['生蚝 3个'],"['蒜末 3克', '葱花 5克', '辣椒 5克', '生抽 3克', '盐 2克']","['高血压人群 建议多吃', '减肥人群 建议多吃', '高血脂人群 建议多吃', '高血糖人群 建议多吃', '儿童 控制少吃']",0克,1.5克,57大卡
10484,青椒肉丝,3.883, 262 收藏 , 42791 浏览,炒,香辣味,30分钟,初级入门,"['猪肉 500克', '青椒 2个']","['食用油 10毫升', '大蒜 50', '白胡椒粉 5克', '盐 5克', '淀粉 50克']","['高血脂人群 尽量不吃', '减肥人群 尽量不吃', '高血压人群 控制少吃', '高血糖人群 控制少吃', '儿童 控制少吃']",1.89克,30.9克,332.6大卡
9676,腐竹炒肉,3.829, 87 收藏 , 22405 浏览,炒,咸鲜味,10分钟,初级入门,"['腐竹 200克', '五花肉 100克']","['生抽 5毫升', '青椒 35克', '红椒 35克', '葱末 5克', '盐 2克']","['高血脂人群 建议多吃', '减肥人群 控制少吃', '高血糖人群 建议多吃', '高血压人群 建议多吃', '儿童 建议多吃']",1.26克,10克,144.6大卡
3268,炸蘑菇,3.733, 82 收藏 , 30488 浏览,炸,咸鲜味,10分钟,初级入门,['平菇 100克'],"['面粉 80克', '淀粉 40克', '鸡蛋 1个', '清水 10毫升', '食用油 330毫升']","['高血糖人群 控制少吃', '减肥人群 控制少吃', '高血脂人群 控制少吃', '高血压人群 控制少吃', '儿童 控制少吃']",3.01克,0.3克,22.3大卡
8790,土豆烧鸡,3.677, 15715 收藏 , 111605 浏览,烧,香辣味,90分钟,中级掌勺,"['果园鸡 半只', '土豆 500克', '红辣椒 10克', '胡萝卜 20克', '生姜 1块', '蒜瓣 3个']","['食用油 10克', '盐 5克', '沙茶酱 1汤匙', '料酒 1汤匙', '清水 100克']","['高血脂人群 建议多吃', '减肥人群 建议多吃', '高血糖人群 控制少吃', '高血压人群 建议多吃', '儿童 控制少吃']",6.09克,3.1克,89.2大卡
8526,烤肉,3.839, 730 收藏 , 13896 浏览,煎,咸鲜味,15分钟,初中水平,"['五花肉 200克', '洋葱 1个', '辣椒 1个']","['生姜 10克', '生抽 3克', '蚝油 3克', '辣椒面 适量', '盐 2克', '白砂糖 3克', '食用油 5毫升']","['高血脂人群 控制少吃', '减肥人群 控制少吃', '高血糖人群 建议多吃', '高血压人群 建议多吃', '儿童 控制少吃']",2.87克,17.5克,190.5大卡
