menus_id,名字,收藏,浏览,工艺,口味,时间,难度,主料,辅料
9237,西湖牛肉羹, 129 收藏 , 44003 浏览,煮,家常味,15分钟,初级入门,"['内酯豆腐 100克', '牛肉 100克']","['香菜 2根', '香菇 2个', '水 100毫升', '蛋清 40克', '白胡椒粉 1克']"
4347,清蒸多宝鱼, 204 收藏 , 54052 浏览,蒸,家常味,30分钟,初级入门,['多宝鱼 1条'],"['姜丝 4克', '葱丝 10克', '姜片 3克', '辣椒 6克', '料酒 40克', '盐 2克', '蒸鱼鼓油 40克', '食用油 50毫升']"
14894,糖醋带鱼, 51 收藏 , 15254 浏览,烧,酸甜味,30分钟,初级入门,['带鱼 200克'],"['料酒 5克', '盐 2克', '淀粉 15克', '姜 3克', '葱 5克', '白醋 15克', '白砂糖 20克', '番茄酱 15克', '水 50毫升']"
7521,水煮虾, 9 收藏 , 10393 浏览,煮,香辣味,30分钟,初中水平,"['虾 300克', '卷心菜 150克', '食用油 20毫升']","['姜末 5克', '蒜末 4克', '干辣椒 3克', '葱末 3克', '食用油 5毫升', '花椒 1克', '豆瓣酱 30克', '清水 100毫升', '高汤 100毫升', '白砂糖 2克', '料酒 5克']"
14215,杀猪菜, 15 收藏 , 15323 浏览,煮,家常味,30分钟,初级入门,"['猪大肠 70克', '猪肝 90克', '猪苦肠 70克', '酸菜 180克', '猪血肠 100克', '五花肉 90克']","['葱花 5克', '姜片 5克', '八角 一个', '鸡粉 适量', '盐 适量', '胡椒粉 适量']"
14006,烤生蚝, 47 收藏 , 22135 浏览,烤,咸鲜味,30分钟,初级入门,['生蚝 3个'],"['蒜末 3克', '葱花 5克', '辣椒 5克', '生抽 3克', '盐 2克']"
10484,青椒肉丝, 262 收藏 , 42791 浏览,炒,香辣味,30分钟,初级入门,"['猪肉 500克', '青椒 2个']","['食用油 10毫升', '大蒜 50', '白胡椒粉 5克', '盐 5克', '淀粉 50克']"
9676,腐竹炒肉, 87 收藏 , 22405 浏览,炒,咸鲜味,10分钟,初级入门,"['腐竹 200克', '五花肉 100克']","['生抽 5毫升', '青椒 35克', '红椒 35克', '葱末 5克', '盐 2克']"
3268,炸蘑菇, 82 收藏 , 30488 浏览,炸,咸鲜味,10分钟,初级入门,['平菇 100克'],"['面粉 80克', '淀粉 40克', '鸡蛋 1个', '清水 10毫升', '食用油 330毫升']"
8790,土豆烧鸡, 15715 收藏 , 111605 浏览,烧,香辣味,90分钟,中级掌勺,"['果园鸡 半只', '土豆 500克', '红辣椒 10克', '胡萝卜 20克', '生姜 1块', '蒜瓣 3个']","['食用油 10克', '盐 5克', '沙茶酱 1汤匙', '料酒 1汤匙', '清水 100克']"
8526,烤肉, 730 收藏 , 13896 浏览,煎,咸鲜味,15分钟,初中水平,"['五花肉 200克', '洋葱 1个', '辣椒 1个']","['生姜 10克', '生抽 3克', '蚝油 3克', '辣椒面 适量', '盐 2克', '白砂糖 3克', '食用油 5毫升']"
3060,猪肉炖粉条, 972 收藏 , 36283 浏览,炖,家常味,30分钟,初级入门,"['粉条 100克', '白菜 500克', '五花肉 100克']","['食用油 5毫升', '葱花 15克', '姜片 10克', '八角 2个', '生抽 5克', '盐 3克', '水 200毫升']"
9333,芝士火腿, 23 收藏 , 13817 浏览,炸,咸鲜味,10分钟,新手尝试,"['鸡蛋 一个', '火腿 一根', '芝士 一片']","['食盐 1克', '低筋面粉 50克', '胡椒粉 1克', '面包碎 50克']"
3760,骨头汤, 161 收藏 , 34054 浏览,炖,咸鲜味,2小时,新手尝试,['猪大骨头 700克'],"['姜丝 5克', '白萝卜 1根', '香葱 3根', '料酒 10克', '盐 2克', '鸡粉 2克', '耗油 5克']"
14680,香辣烤藕片, 3 收藏 , 34658 浏览,烤,香辣味,30分钟,初级入门,['莲藕 两节'],"['洋葱 半个', '姜末 适量', '辣椒圈 适量', '葱末 适量', '小葱 适量', '辣椒粉 适量', '熟白芝麻 适量', '蚝油 10克', '五香粉 2克', '啤酒 50克', '食盐 少许', '孜然粉 1克', '花椒粉 1克', '绵白糖 10克']"
858,牛尾冬瓜汤, 31 收藏 , 6189 浏览,煲,咸鲜味,2小时,初级入门,"['牛尾段 800克', '冬瓜 1块']","['姜 1块', '草果 1颗', '肉蔻 2粒', '盐 少许']"
3562,芝士火鸡, 653 收藏 , 9384 浏览,炒,香辣味,30分钟,初级入门,"['鸡腿 5个', '年糕条 适量']","['蒜末 1勺', '生抽 1勺', '辣椒面 1勺', '火鸡酱 2勺', '韩式辣酱 1勺', '食用油 1勺', '芝士碎 适量', '海苔碎 适量', '黑胡椒粉 适量']"
3647,京酱肉丝, 145 收藏 , 33741 浏览,炒,酱香味,10分钟,初级入门,['瘦精猪肉 300克'],"['淀粉 10克', '水 10毫升', '食用油 8毫升', '耗油 8克', '豆瓣酱 5克', '盐 3克']"
13298,秘制蒜香鸡爪, 513 收藏 , 25269 浏览,拌,香辣味,数小时,初级入门,['鸡爪 500克'],"['食盐 3克', '香叶 2片', '料酒 10克', '蚝油 10克', '生抽 15克', '香醋 15克', '八角 2个', '花椒 2克', '草果 1个', '桂皮 1块', '洋葱 适量', '小米辣 适量', '葱姜蒜 适量', '白芝麻 适量', '辣椒粉 适量']"
1222,一碗酱汁锅里一倒，出锅太香了！鲜嫩入味, 2 收藏 , 49093 浏览,炖,家常味,15分钟,未知,"['大鸡腿 1个', '土豆 1个', '洋葱 半个', '金针菇 1把']","['料酒 1勺', '生抽 2勺', '老抽 半勺', '蚝油 1勺', '黄豆酱 2勺', '海鲜酱 1勺']"
6827,西葫芦炒肉, 2874 收藏 , 41779 浏览,炒,咸鲜味,10分钟,初级入门,"['西葫芦 250克', '猪肉 100克', '胡萝卜 50克']","['蒜片 5克', '香葱 1根', '食用油 5毫升', '料酒 5克', '鸡粉 3克', '盐 2克', '生抽 15克', '蚝油 2克', '水淀粉 15克']"
12568,湖南小炒肉, 109 收藏 , 28525 浏览,炒,香辣味,10分钟,初中水平,"['蒜片 5克', '姜片 10克', '青辣椒 15克', '小米椒 15克', '五花肉 150克', '食用油 5毫升']","['老抽 6克', '豆豉 10克', '盐 2克', '白砂糖 3克', '生抽 5克']"
1705,蒜香烤茄子, 134 收藏 , 14481 浏览,烤,香辣味,30分钟,未知,"['茄子 1个', '大蒜 20克', '盐 3克', '蒜蓉辣酱 1大勺', '青椒 少许', '白胡椒 少许']",['烧烤料 适量']
11063,凉拌鸡胸肉, 1273 收藏 , 28807 浏览,拌,香辣味,30分钟,初中水平,['鸡胸肉 适量'],"['葱姜 适量', '料酒 适量', '蒜末 适量', '生抽 适量', '蚝油 适量', '食盐 适量', '辣椒粉 适量', '辣椒碎 适量', '熟白芝麻 适量', '孜然粉 适量', '孜然粒 适量', '鸡精 适量', '小米辣 适量', '香菜 适量']"
7799,煲仔饭, 39 收藏 , 15567 浏览,煲,家常味,60分钟,中级掌勺,"['大米 150克', '水 70毫升', '鸡蛋 1个', '油菜 适量']","['食用油 10毫升', '鱼露 10毫升', '酱油 10毫升', '盐 5克', '糖 5克', '蚝油 5克', '老抽 5克', '麻油 5克', '凉白开 10毫升', '姜丝 5克', '蒜末 5克', '白酒 5克', '豆豉 5克', '芝麻 适量', '葱花 适量']"
7099,白斩鸡, 56 收藏 , 17625 浏览,煮,其它口味,30分钟,新手尝试,['鸡 一只'],['老姜 10克']
14376,肉末蒸蛋, 448 收藏 , 84265 浏览,蒸,家常味,30分钟,初级入门,"['鸡蛋 4个', '肉末 100克']","['食用油 5毫升', '蒜末 5克', '生抽 5克', '葱花 5克', '胡萝卜 8克', '香菇末 8克', '盐 3克']"
7742,干煸四季豆, 142 收藏 , 15366 浏览,干煸,咸鲜味,10分钟,初中水平,"['四季豆 200克', '大蒜 适量', '辣椒 2根', '白芝麻 适量']","['食用油 5毫升', '盐 3克', '蚝油 5克']"
7709,鱼香茄子, 188 收藏 , 14844 浏览,炒,家常味,15分钟,新手尝试,"['圆茄子 1个', '西红柿 2个', '青椒 半个']","['剁辣椒 1勺', '葱花姜末蒜末 适量', '盐 适量', '食用油 适量', '生抽 2勺', '老抽 2勺', '蚝油 1勺', '白糖 1勺', '水淀粉 1勺', '鸡精 1勺']"
